,Model,Dataset,Preprocessing,Obtained Window Size,Obtained Stride,NIDS Performance,,,Surrogate Model #1 (Simple MLP),,,,Surrogate Model #2 (Complex MLP),,,,Surrogate Model #3 (LSTM),,,,FGSM - BCE,,,,FGSM - L0,,,,PGD - BCE,,,,PGD - logit,,,,PGD - CW,,,,PGD - KL divergence,,,,CorrShift attack,,,,Total Execution Time
NIDS (#),,,,,,Clean Accuracy,Clean Precision,Clean Recall,Clean Accuracy,Clean Precision,Clean Recall,Fidelity,Clean Accuracy,Clean Precision,Clean Recall,Fidelity,Clean Accuracy,Clean Precision,Clean Recall,Fidelity,Robust Accuracy,Robust Precision,Robust Recall,ASR,Robust Accuracy,Robust Precision,Robust Recall,ASR,Robust Accuracy,Robust Precision,Robust Recall,ASR,Robust Accuracy,Robust Precision,Robust Recall,ASR,Robust Accuracy,Robust Precision,Robust Recall,ASR,Robust Accuracy,Robust Precision,Robust Recall,ASR,Robust Accuracy,Robust Precision,Robust Recall,ASR,
NIDS 1,Random Forest [4],SWaT,"Window of 4, statistical feature extraction",4,1,0.9848,0.9044,0.9784,0.9672,0.9677,0.88197,0.9831,,,,,,,,,0.4475,0.1426,0.7085,0.2915,0.6339,0.207,0.712,0.288,0.6761,0.2298,0.7095,0.2905,0.6759,0.2297,0.7094,0.2906,0.7121,0.2544,0.7107,0.2893,0.6664,0.2242,0.7105,0.2895,0,0,0,1,2710.42
NIDS 2,SVM [10],SWaT,"Window of 4, statistical feature extraction",4,1,0.9595,0.8217,0.8511,0.9378,0.9325,0.7905,0.9939,,,,,,,,,0.1214,0.1214,1,0,0.1214,0.1214,1,0,0.1214,0.1214,1,0,0.1214,0.1214,1,0,0.1214,0.1214,1,0,0.1214,0.1214,1,0,0.1214,0.1214,1,0,214837.39
NIDS 3,Naïve Bayes [7],SWaT,"Window of 4, statistical feature extraction",4,1,0.8436,0.4275,0.85,0.8517,0.4398,0.8456,0.9965,,,,,,,,,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.5019,0,0,1,1771.69
NIDS 4,OC-SVM [3],SWaT,"Window of 4, statistical feature extraction",4,1,0.9597,0.9703,0.6894,0.9112,0.6282,0.9878,0.9989,,,,,,,,,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.124,0,0,1,7311.27
NIDS 5,Decision Tree [4],SWaT,"Window of 4, statistical feature extraction",4,1,0.8468,0.4385,0.9342,0.8778,0.6745,0.9231,0.8521,0.9227,0.985,0.6802,0.8352,0.8813,0.6787,0.9358,0.8897,0.2634,0.0213,0.1126,0.8874,0.2413,0.0203,0.1112,0.8888,0.4482,0.0297,0.1121,0.8879,0.4481,0.0298,0.1123,0.8877,0.7252,0.0747,0.111,0.889,0.6386,0.051,0.1123,0.8877,0,0,0,1,3848.59
NIDS 6,Neural Network [8],SWaT,FIR filter,1,1,0.9776,0.957,0.8535,0.9757,0.9595,0.8396,0.9949,,,,,,,,,0.7546,0.0873,0.1081,0.8919,0.6532,0.0523,0.1084,0.8916,0.7363,0.0779,0.1082,0.8918,0.736,0.0778,0.1082,0.8918,0.7511,0.0854,0.1082,0.8918,0.7364,0.0779,0.1081,0.8919,0.6735,0.269,0.9847,0.0153,177659.82
NIDS 7,Decision Tree [4],BATADAL,"Window of 4, statistical feature extraction",4,1,0.6828,0.1647,0.5081,0.6792,0.1504,0.5312,0.7437,0.8439,0.2105,0.25,0.7023,0.7254,0.1797,0.5521,0.7765,0.8848,0.0189,0.0023,0.9977,0.8877,0.0244,0.0023,0.9977,0.8929,0.0526,0.0023,0.9977,0.8929,0.0526,0.0023,0.9977,0.8949,0.0909,0.0023,0.9977,0.8932,0.0556,0.0023,0.9977,0.0024,0,0,1,33.89
NIDS 8,Unsupervised kNN [7],BATADAL,"Window of 4, statistical feature extraction",4,1,0.7799,0.2471,0.5522,0.578,0.1437,0.7188,0.9037,0.473,0.1009,0.5938,0.7447,0.5809,0.1401,0.6875,0.8873,0.103,0.103,1,0,0.103,0.103,1,0,0.103,0.103,1,0,0.103,0.103,1,0,0.103,0.103,1,0,0.103,0.103,1,0,0.0382,0.0409,0.3706,0.6294,145.98
NIDS 9,AAKR [4],BATADAL,Normalization,1,1,0.7017,0.201,0.629,0.78,0.1522,0.5072,0.8396,0.9193,0.3529,0.2609,0.7294,0.8213,0.1657,0.4203,0.7963,0.1039,0.1039,1,0,0.1039,0.1039,1,0,0.1039,0.1039,1,0,0.1039,0.1039,1,0,0.1039,0.1039,1,0,0.1039,0.1039,1,0,0.001,0,0,1,819.34
NIDS 10,LSTM - AE [5],SWaT,Window of 6,4,1,0.8158,0.5777,0.6587,0.8009,0.5669,0.6323,0.9905,,,,,,,,,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0,0,0.0001,0.9999,13785.97
NIDS 11,DNN [3],SWaT,Window of 4,4,1,0.9141,0.6316,0.7007,0.8701,0.761,0.6487,0.9836,,,,,,,,,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.0062,0,0,1,36520.69
NIDS 12,CNN [9],SWaT,Normalization,1,1,0.9971,0.9856,0.9906,0.9894,0.9618,0.9535,0.9916,,,,,,,,,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.1209,0,0,1,38154.47
NIDS 13,Naïve Bayes - AT,SWaT,"Window of 4, statistical feature extraction",4,1,0.8436,0.4275,0.85,0.8408,0.6393,0.7344,0.9986,,,,,,,,,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.8786,0,0,1,0.5051,0,0,1,1571.46
NIDS 14,Decision Tree - AT,BATADAL,"Window of 4, statistical feature extraction",4,1,0.6708,0.118,0.5916,0.5617,0.1359,0.6979,0.7254,0.711,0.1554,0.4792,0.5453,0.5694,0.1455,0.75,0.7563,0.2808,0.1206,0.951,0.049,0.2264,0.1093,0.9114,0.0886,0.2585,0.1187,0.965,0.035,0.2489,0.1167,0.958,0.042,0.236,0.1081,0.8858,0.1142,0.2412,0.1154,0.9557,0.0443,0.2631,0.0538,0.3706,0.6294,35.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
